"lastname","firstname","hired","employeeno"
"Bakhtari","Steve","1986-02-15","400128"
"Baumann","Shalesh","1986-02-15","106913"
"Bazzichi","Dayanand","1986-02-15","477638"
"Benantar","Tze","1986-02-15","253549"
"Bondorf","Stepehn","1986-02-15","494838"
"Borovoy","Kersti","1986-02-15","210669"
"Brlek","Guttorm","1986-02-15","73820"
"Bugrara","Kyoichi","1986-02-15","437662"
"Butterworth","Mingzeng","1986-02-15","451663"
"Capobianchi","Srinidhi","1986-02-15","81221"
"Cappello","Xiaocheng","1986-02-15","492439"
"Casley","Yefim","1986-02-15","19970"
"Casley","Bernice","1986-02-15","422121"
"Christ","Froduald","1986-02-15","441839"
"Clemencon","Seshu","1986-02-15","298438"
"Codenie","Tsutomu","1986-02-15","234157"
"Constantine","Yoshinari","1986-02-15","79633"
"Dayana","Annemarie","1986-02-15","248233"
"Dechter","Alagu","1986-02-15","257667"
"Demir","Anneli","1986-02-15","458922"
"Deville","Shuho","1986-02-15","23066"
"Domenig","Arnould","1986-02-15","16129"
"Domenig","Arno","1986-02-15","406285"
"Eiron","Radhakrishnan","1986-02-15","232704"
"Ernst","Oscar","1986-02-15","431444"
"Escriba","Youjian","1986-02-15","91594"
"Farrow","Martins","1986-02-15","498808"
"Foong","Rosella","1986-02-15","97168"
"Gajiwala","Udo","1986-02-15","38128"
"Garrabrants","Martina","1986-02-15","51178"
"Gewali","Shigeu","1986-02-15","273461"
"Gladwell","Xinan","1986-02-15","253501"
"Granlund","Abdulla","1986-02-15","24458"
"Heijenga","Badri","1986-02-15","72904"
"Hennings","Joydip","1986-02-15","66260"
"Herath","Duro","1986-02-15","478253"
"Hooghiemstra","Boalin","1986-02-15","400182"
"Iisaku","Kenton","1986-02-15","217291"
"Improta","Adel","1986-02-15","476927"
"Improta","Gunilla","1986-02-15","51723"
"Ishibashi","Uno","1986-02-15","430669"
"Jahnichen","Kwan","1986-02-15","400364"
"Kampfer","Erzsebet","1986-02-15","37877"
"Karner","Masami","1986-02-15","52772"
"Keohane","Gaetan","1986-02-15","481586"
"Kitai","Mingsen","1986-02-15","29877"
"Kobara","Jixiang","1986-02-15","463672"
"Lemarechal","Isaac","1986-02-15","443876"
"Liesche","Vishu","1986-02-15","67996"
"Luca","Giordano","1986-02-15","223194"
"Manderick","Yurii","1986-02-15","405100"
"Marshall","Kazuyasu","1986-02-15","92907"
"Merks","Bernardo","1986-02-15","429875"
"Mondadori","Jouni","1986-02-15","463153"
"Motley","Padma","1986-02-15","278562"
"Msuda","Vojin","1986-02-15","290593"
"Nergos","Premal","1986-02-15","297622"
"Nooteboom","Marek","1986-02-15","269170"
"Petersohn","Carrsten","1986-02-15","289608"
"Pettey","Hauke","1986-02-15","484271"
"Picaronny","Martins","1986-02-15","464287"
"Pillow","Khoa","1986-02-15","242895"
"Piveteau","Moon","1986-02-15","47739"
"Pocchiola","Jaroslava","1986-02-15","213621"
"Porenta","Yuping","1986-02-15","56174"
"Porenta","Ramya","1986-02-15","451499"
"Porenta","Anneke","1986-02-15","429226"
"Quittner","Adit","1986-02-15","200235"
"Ranka","Cathie","1986-02-15","400623"
"Ritcey","Pramod","1986-02-15","430071"
"Rodier","Muzhong","1986-02-15","20109"
"Rosay","Chuanyi","1986-02-15","280492"
"Rouquie","Willard","1986-02-15","474506"
"Setia","Zsolt","1986-02-15","276824"
"Sewelson","Khedija","1986-02-15","487703"
"Shokrollahi","Shaz","1986-02-15","89365"
"Smailagic","Morrie","1986-02-15","203281"
"Swab","Brewster","1986-02-15","217557"
"Takkinen","Jinpo","1986-02-15","11571"
"Thebaut","Guenter","1986-02-15","84083"
"Uhrik","Emdad","1986-02-15","419799"
"VanScheik","Candido","1986-02-15","496589"
"Vecchi","Fai","1986-02-15","74405"
"Warwick","Adel","1986-02-15","427985"
"Wegerle","Danae","1986-02-15","491724"
"Wroclawski","Kwangjo","1986-02-15","475143"
"Yavatkar","Wanqing","1986-02-15","65933"
"Ananiadou","Arco","1986-02-16","13483"
"Baar","Willard","1986-02-16","94582"
"Bach","Shooichi","1986-02-16","474388"
"Bednarek","Rasiah","1986-02-16","487584"
"Benzaken","Sailaja","1986-02-16","499410"
"Binkley","Sergi","1986-02-16","90457"
"Biros","Akemi","1986-02-16","489228"
"Bouloucos","Rasiah","1986-02-16","437470"
"Brlek","Clyde","1986-02-16","497329"
"Broder","Gennady","1986-02-16","58010"
"Brookman","Kankanahalli","1986-02-16","209698"
"Burnard","Sergi","1986-02-16","269082"
"Butterworth","Shuichi","1986-02-16","456735"
"Chinin","Jackson","1986-02-16","244885"
"Cochrane","Valter","1986-02-16","252612"
"Conde","Muzhong","1986-02-16","93749"
"Conia","Gen","1986-02-16","474055"
"Coombs","Akhilish","1986-02-16","31495"
"Coors","Zito","1986-02-16","78371"
"Couchot","Weiyi","1986-02-16","31770"
"Cronin","Conal","1986-02-16","234874"
"Curless","Dung","1986-02-16","254114"
"Dehkordi","Rafael","1986-02-16","52561"
"DeMori","Hatsukazu","1986-02-16","418642"
"Deyuan","Erzsebet","1986-02-16","477680"
"Douceur","Marla","1986-02-16","294371"
"Erev","Dulce","1986-02-16","276501"
"Erie","Remmert","1986-02-16","402064"
"Fadgyas","Xianlong","1986-02-16","92646"
"Fairtlough","Shuzo","1986-02-16","496889"
"Falster","Huican","1986-02-16","430237"
"Farrar","Kokou","1986-02-16","57690"
"Farrow","Dietrich","1986-02-16","488589"
"Glowinski","Nakhoon","1986-02-16","69767"
"Gonthier","Manibrata","1986-02-16","205423"
"Haddadi","Maha","1986-02-16","26828"
"Hettesheimer","Jeanne","1986-02-16","218039"
"Heuter","Olivera","1986-02-16","96780"
"Heyers","Lunjin","1986-02-16","63382"
"Hooghiemstra","Frederique","1986-02-16","281361"
"Iisaku","Abdulla","1986-02-16","263140"
"Itzfeldt","Jaana","1986-02-16","259385"
"Jansch","Badri","1986-02-16","84562"
"Joslin","Oldrich","1986-02-16","466362"
"Khalil","Uriel","1986-02-16","427948"
"Khasidashvili","Zijian","1986-02-16","442547"
"Kragelund","Moto","1986-02-16","495884"
"Kropf","Apostol","1986-02-16","268480"
"Krupka","Subhrajyoti","1986-02-16","400704"
"Kruskal","Chenye","1986-02-16","19361"
"Lamba","Panayotis","1986-02-16","260137"
"Lichtner","Yoshinari","1986-02-16","210222"
"Lieberherr","Zvonko","1986-02-16","481750"
"Liedekerke","Mariusz","1986-02-16","476090"
"Lorho","Jungsoon","1986-02-16","448169"
"Luders","Tsutomu","1986-02-16","228191"
"Lukaszewicz","Lenore","1986-02-16","441109"
"Mansanne","Aloke","1986-02-16","441249"
"Masada","Arif","1986-02-16","91160"
"McClurg","Mansur","1986-02-16","236313"
"Melichar","Kayoko","1986-02-16","428781"
"Mellouli","Takushi","1986-02-16","479913"
"Melter","Tran","1986-02-16","107453"
"Merro","Vatsa","1986-02-16","261532"
"Milicic","Hugo","1986-02-16","280259"
"Murillo","Franziska","1986-02-16","98753"
"Murillo","Basil","1986-02-16","207586"
"Narahari","Basil","1986-02-16","272739"
"Nitsch","Boalin","1986-02-16","225393"
"Nyrup","Tesuro","1986-02-16","228508"
"Openshaw","Stepehn","1986-02-16","481269"
"Pauthner","Geoff","1986-02-16","79592"
"Pelc","Make","1986-02-16","464549"
"Perelgut","Idoia","1986-02-16","261456"
"Picht","Rajmohan","1986-02-16","495492"
"Plesums","Shalesh","1986-02-16","224820"
"Pocchiola","Armond","1986-02-16","105985"
"Pocchiola","Arno","1986-02-16","446939"
"Pollock","Valeska","1986-02-16","103728"
"Pramanik","Nishit","1986-02-16","494028"
"Prenel","Frederique","1986-02-16","231052"
"Pulkowski","Matk","1986-02-16","443551"
"Ramamoorthy","Reinhard","1986-02-16","275132"
"Raney","Valdiodio","1986-02-16","244176"
"Ranta","Sugwoo","1986-02-16","423321"
"Rassart","Valdiodio","1986-02-16","290893"
"Redmiles","Gil","1986-02-16","472102"
"Reinhard","Tomokazu","1986-02-16","23724"
"Riesenhuber","Martijn","1986-02-16","290093"
"Ritcey","Yannis","1986-02-16","56418"
"Rosca","Josyula","1986-02-16","23034"
"Rosin","Roselyn","1986-02-16","101934"
"Rosis","Mandell","1986-02-16","224202"
"Rubsam","Anwar","1986-02-16","468878"
"Schmittgen","Zsolt","1986-02-16","477919"
"Schnabel","Leaf","1986-02-16","420963"
"Schonegge","Brigham","1986-02-16","92423"
"Schurmann","Adil","1986-02-16","482366"
"Schusler","Matt","1986-02-16","455561"
"Sidou","Kensei","1986-02-16","63724"
"Sifakis","Francoise","1986-02-16","401999"
"Simmen","Mingdong","1986-02-16","458720"
"Staelin","Peternela","1986-02-16","222085"
"Staelin","Visit","1986-02-16","416158"
"Stasinski","Troy","1986-02-16","257212"
"Streit","Adhemar","1986-02-16","99090"
"Tanemo","Gino","1986-02-16","39941"
"Validov","Val","1986-02-16","41885"
"Vecchi","Lalit","1986-02-16","238013"
"Vecchio","Mantis","1986-02-16","96433"
"Vernadat","Zsolt","1986-02-16","230028"
"Vieri","Georg","1986-02-16","223078"
"Wissmann","Udaiprakash","1986-02-16","422676"
"Wolniewicz","Sedat","1986-02-16","26606"
"Adachi","Serif","1986-02-17","470859"
"Alameldin","Shrikanth","1986-02-17","210420"
"Anick","Heping","1986-02-17","497627"
"Antonakopoulos","Taizo","1986-02-17","108047"
"Auria","Junichi","1986-02-17","288700"
"Badr","Mihalis","1986-02-17","432189"
"Bahr","Berhard","1986-02-17","456600"
"Bardell","Ennio","1986-02-17","437425"
"Bazelow","Boriana","1986-02-17","98123"
"Beetstra","Yaghout","1986-02-17","224785"
"Braccini","Tianruo","1986-02-17","206209"
"Bressoud","Irena","1986-02-17","438249"
"Cannata","Moriyoshi","1986-02-17","424781"
"Chiodo","Subir","1986-02-17","446083"
"Cooley","Dietrich","1986-02-17","439057"
"Crabtree","Van","1986-02-17","429440"
"DasSarma","Jongsuk","1986-02-17","71282"
"dAstous","Jeanna","1986-02-17","61550"
"DuBourdieux","Constantine","1986-02-17","228690"
"Einsfeld","Satosi","1986-02-17","287879"
"Escriba","Reuven","1986-02-17","226626"
"Facello","Zejun","1986-02-17","466175"
"Feldmann","Arno","1986-02-17","287478"
"Frolund","Martien","1986-02-17","59826"
"Garnick","Mayuri","1986-02-17","475241"
"Giarratana","Bilhanan","1986-02-17","234117"
"Gischer","Susumu","1986-02-17","460980"
"Goodrum","Sungwon","1986-02-17","214413"
"Goodrum","Moon","1986-02-17","73868"
"Gronowski","Nahum","1986-02-17","105205"
"Grospietsch","Larisa","1986-02-17","272251"
"Grospietsch","Sandeepan","1986-02-17","211830"
"Gulik","Christoph","1986-02-17","223714"
"Haddadi","Premal","1986-02-17","68054"
"Hasenauer","Yurii","1986-02-17","87752"
"Hatcliff","Nigel","1986-02-17","89594"
"Hiraishi","Marie","1986-02-17","201008"
"Holburn","Vivian","1986-02-17","104621"
"Improta","Hyuckchul","1986-02-17","457806"
"Isaac","Horward","1986-02-17","203295"
"Jonsson","Jacqueline","1986-02-17","486555"
"Kalloufi","Mahendra","1986-02-17","59146"
"Kalloufi","Phuoc","1986-02-17","244059"
"Khasidashvili","Wojceich","1986-02-17","215990"
"Kitai","Licheng","1986-02-17","11093"
"Krone","Masako","1986-02-17","70668"
"Kruskal","Utpal","1986-02-17","433960"
"Kusakabe","Kwangjo","1986-02-17","272345"
"Ladret","Zvonko","1986-02-17","241891"
"Leijenhorst","Quingbo","1986-02-17","407920"
"Lenart","Yunming","1986-02-17","280928"
"Litecky","Kristinn","1986-02-17","285872"
"Litzler","Serif","1986-02-17","227079"
"Luders","Mack","1986-02-17","234880"
"Maginnis","Franziska","1986-02-17","204471"
"Maksimenko","Uriel","1986-02-17","431969"
"Maliniak","Xiaocheng","1986-02-17","211868"
"Manderick","Ekawit","1986-02-17","485162"
"Masaki","Zhigen","1986-02-17","440496"
"Mellouli","Trygve","1986-02-17","237606"
"Melton","Paris","1986-02-17","423420"
"Menhardt","Shahar","1986-02-17","265194"
"Morris","Garnet","1986-02-17","25663"
"Mundy","Yuchang","1986-02-17","424950"
"Narlikar","Constantino","1986-02-17","496261"
"Nollmann","Sven","1986-02-17","46141"
"Nourani","Monique","1986-02-17","286998"
"Ossenbruggen","Mads","1986-02-17","12019"
"Paciorek","Abdelwaheb","1986-02-17","295828"
"Papadias","Ramzi","1986-02-17","219963"
"Papastamatiou","Mana","1986-02-17","10584"
"Parhami","Aloys","1986-02-17","99695"
"Peac","Wuxu","1986-02-17","265130"
"Penz","Roddy","1986-02-17","408061"
"Pepe","Marc","1986-02-17","451273"
"Perez","Byong","1986-02-17","446715"
"Perry","Masami","1986-02-17","247023"
"Pettit","Tetsurou","1986-02-17","109488"
"Pintelas","Gopalakrishnan","1986-02-17","234829"
"Rahimi","Hugh","1986-02-17","492571"
"Rajaraman","Apostol","1986-02-17","465356"
"Rajaraman","Chinya","1986-02-17","275338"
"Ranta","Ramya","1986-02-17","55164"
"Ranum","Hercules","1986-02-17","434986"
"Rijsenbrij","Franziska","1986-02-17","288559"
"Rissanen","Irena","1986-02-17","45170"
"Roison","Yongqiao","1986-02-17","465936"
"Rosaz","Marsja","1986-02-17","217088"
"Rosin","Quingbo","1986-02-17","230420"
"Rotem","Dante","1986-02-17","436646"
"Rusterholz","Shiv","1986-02-17","247020"
"Ruther","Leon","1986-02-17","454580"
"Sabnani","Kiam","1986-02-17","292636"
"Salvesen","Sverrir","1986-02-17","66086"
"Schoegge","Khalil","1986-02-17","72299"
"Schwaller","Djelloul","1986-02-17","43458"
"Segond","Mohamadou","1986-02-17","419252"
"Selenyi","Weiwu","1986-02-17","294517"
"Sewelson","Marko","1986-02-17","227068"
"Showalter","Paraskevi","1986-02-17","247594"
"Sichman","Unal","1986-02-17","268985"
"Siegrist","Ipke","1986-02-17","446982"
"Skogmar","Nectarios","1986-02-17","419828"
"Slobodova","Baruch","1986-02-17","270369"
"Speckmann","Marie","1986-02-17","54620"
"Taubenfeld","Gully","1986-02-17","243617"
"Tsunoo","Tze","1986-02-17","475746"
"Uhrig","Otilia","1986-02-17","94638"
"Unni","Rimli","1986-02-17","468829"
"Vadhan","Adib","1986-02-17","442550"
"Varman","Thanasis","1986-02-17","45290"
"Veeraraghavan","Marjo","1986-02-17","212567"
"Weiland","Yolla","1986-02-17","89580"
"Wielonsky","Danil","1986-02-17","482583"
"Yetim","Zsolt","1986-02-17","50497"
"Zwicker","Stevo","1986-02-17","282688"
"Zykh","Seongbae","1986-02-17","86533"
"Aingworth","Mohammad","1986-02-18","70519"
"Anick","Uli","1986-02-18","292295"
"Assaf","Visit","1986-02-18","432388"
"Bade","Pascal","1986-02-18","283632"
"Bail","Jungsoon","1986-02-18","293752"
"Barvinok","Jinpo","1986-02-18","267853"
"Benveniste","Stein","1986-02-18","298235"
"Bernardeschi","Abdelghani","1986-02-18","433142"
"Berstel","Maren","1986-02-18","251078"
"Birsak","Insup","1986-02-18","219046"
"Bodoff","Nigel","1986-02-18","456590"
"Botman","Poornachandra","1986-02-18","225352"
"Bottner","Leen","1986-02-18","416789"
"Bottner","Alper","1986-02-18","107687"
"Brickell","Mohd","1986-02-18","435454"
"Burnard","Mohan","1986-02-18","267090"
"Cappelletti","Frazer","1986-02-18","466232"
"Cesareni","Remmert","1986-02-18","266646"
"Clouatre","Gunilla","1986-02-18","278992"
"Coney","Nalini","1986-02-18","267678"
"Czaja","Mingdong","1986-02-18","64843"
"DasSarma","Baocai","1986-02-18","427589"
"Decaestecker","Godehard","1986-02-18","239475"
"Erdmenger","Piyush","1986-02-18","78300"
"Fadgyas","Nevin","1986-02-18","237775"
"Falster","Flemming","1986-02-18","69544"
"Fujisaki","Marit","1986-02-18","455897"
"Fujisawa","Flemming","1986-02-18","69111"
"Gadepally","Nectarios","1986-02-18","458442"
"Gajiwala","Qiwen","1986-02-18","296597"
"Garrabrants","True","1986-02-18","76104"
"Gecsei","Palash","1986-02-18","439005"
"Gornas","Francesca","1986-02-18","492006"
"Greenaway","Abdulla","1986-02-18","463889"
"Hambrick","Kwee","1986-02-18","35758"
"Hiroyama","Theron","1986-02-18","432253"
"Iacovou","Eran","1986-02-18","212670"
"Iisaka","Yakichi","1986-02-18","460645"
"Isard","Candida","1986-02-18","449637"
"Iwayama","Manohar","1986-02-18","411124"
"Kalafatis","Christoper","1986-02-18","103469"
"Kobuchi","Akhilish","1986-02-18","59117"
"Krone","Saeed","1986-02-18","451198"
"Lagarias","Danny","1986-02-18","204925"
"Lamma","Baocai","1986-02-18","290740"
"Lortz","Chirstian","1986-02-18","429843"
"Lundstrom","Yechezkel","1986-02-18","218441"
"Luon","Greger","1986-02-18","491006"
"Maierhofer","Gian","1986-02-18","73947"
"Masamoto","Munir","1986-02-18","494868"
"Matzov","Mariusz","1986-02-18","71339"
"Menhoudj","Anneke","1986-02-18","54199"
"Menhoudj","Henk","1986-02-18","440995"
"Michaels","Hironobu","1986-02-18","462552"
"Mitchem","Weiyi","1986-02-18","434451"
"Miyakawa","Rildo","1986-02-18","217401"
"Mondadori","Karsten","1986-02-18","88091"
"Nitsch","Kwangho","1986-02-18","205944"
"Nitsch","Shaowen","1986-02-18","287066"
"Nitto","Ung","1986-02-18","200920"
"Orsini","Arup","1986-02-18","18982"
"Ozery","Shim","1986-02-18","23546"
"Peha","Amstein","1986-02-18","286672"
"Pehl","Jeanna","1986-02-18","22987"
"Peron","Itzchak","1986-02-18","463624"
"Pezzoli","Saeed","1986-02-18","478590"
"Rabehasaina","Supot","1986-02-18","437401"
"Radivojevic","Sudhanshu","1986-02-18","230763"
"Randt","Aemilian","1986-02-18","83123"
"Rijsenbrij","Chenxi","1986-02-18","50649"
"Schach","Jianhui","1986-02-18","497430"
"Schapire","Mohd","1986-02-18","284598"
"Schrooten","Sergi","1986-02-18","496394"
"Servieres","Qiwen","1986-02-18","82970"
"Simmen","Chiradeep","1986-02-18","28478"
"Sommer","Ymte","1986-02-18","430450"
"Sooriamurthi","Sumali","1986-02-18","485203"
"Staelin","Masadi","1986-02-18","240858"
"Standera","Gregory","1986-02-18","93447"
"Stasinski","Guther","1986-02-18","460853"
"Staylopatis","Qunsheng","1986-02-18","237382"
"Strehl","Tomokazu","1986-02-18","273270"
"Suermann","Wonhee","1986-02-18","286132"
"Suppi","Yifei","1986-02-18","481379"
"Taneja","Persi","1986-02-18","219715"
"Trachtenberg","Munehiko","1986-02-18","81509"
"Turnbull","Shunichi","1986-02-18","441163"
"Uludag","Navid","1986-02-18","266159"
"Veldwijk","Margo","1986-02-18","208923"
"Vernadat","Sadegh","1986-02-18","226032"
"Vieri","Arumugam","1986-02-18","24675"
"Vieri","Satosi","1986-02-18","266012"
"Warwick","JoAnne","1986-02-18","424925"
"Waterhouse","Lalit","1986-02-18","477728"
"Weiland","Danae","1986-02-18","36008"
"Wiegley","Godehard","1986-02-18","266444"
"Wielonsky","Kousuke","1986-02-18","83182"
"Zuberek","Parviz","1986-02-18","248687"
"Alvarado","Zhenbing","1986-02-19","95633"
"Azulay","Jingling","1986-02-19","218397"
"Babu","Huai","1986-02-19","54658"
"Baer","Gilbert","1986-02-19","78346"
"Bail","Jinya","1986-02-19","73259"
"Barvinok","Jouko","1986-02-19","483999"
"Baumann","Bartek","1986-02-19","295962"
"Bellone","Atreye","1986-02-19","467924"
"Berendt","Xiaoqiang","1986-02-19","423878"
"Bernatsky","Oguz","1986-02-19","74684"
"Bierbaum","Deniz","1986-02-19","41325"
"Bouloucos","Xinglin","1986-02-19","62045"
"Busillo","Luerbio","1986-02-19","95757"
"Butner","Kiyotoshi","1986-02-19","77201"
"Callaway","Avishai","1986-02-19","473379"
"Candan","Adil","1986-02-19","407323"
"Coors","Sailaja","1986-02-19","224997"
"Couchot","Jaber","1986-02-19","268490"
"Danecki","Naraig","1986-02-19","27801"
"Decaestecker","LiMin","1986-02-19","202677"
"Decaestecker","Gererd","1986-02-19","88334"
"Delgrande","Waiman","1986-02-19","403727"
"Delgrande","Yongdong","1986-02-19","80913"
"Demke","Arnd","1986-02-19","448631"
"DuBourdieux","Junsik","1986-02-19","109557"
"Dulay","Patricio","1986-02-19","57317"
"Engberts","Dung","1986-02-19","409154"
"Ermel","Troy","1986-02-19","496693"
"Ernst","Angus","1986-02-19","254038"
"Erva","Noritoshi","1986-02-19","457499"
"Fabrizio","Kersti","1986-02-19","480270"
"Fasbender","Gao","1986-02-19","428008"
"Gammage","Gou","1986-02-19","252822"
"Garnick","Subhrajyoti","1986-02-19","424036"
"Genin","Kamran","1986-02-19","488523"
"Gimbel","Arnd","1986-02-19","229621"
"Gopalakrishnan","Mart","1986-02-19","420867"
"Haldar","Stella","1986-02-19","241079"
"Hatcliff","Vishwani","1986-02-19","50665"
"Hofting","Petter","1986-02-19","42259"
"Impagliazzo","Shmuel","1986-02-19","445621"
"Iwayama","Jasminko","1986-02-19","480771"
"Kading","Herb","1986-02-19","408580"
"Kavraki","Shuzo","1986-02-19","44474"
"Kawashimo","Eberhardt","1986-02-19","218184"
"Kobuchi","Xiaobin","1986-02-19","55423"
"Koprowski","Chinhyun","1986-02-19","263868"
"Kornyak","Toong","1986-02-19","83290"
"Kranzdorf","Lidong","1986-02-19","245143"
"Kropp","Menkae","1986-02-19","44835"
"Langford","Menkae","1986-02-19","224595"
"Langford","Olivera","1986-02-19","39643"
"Lanphier","Isamu","1986-02-19","426437"
"Lanteri","Christoph","1986-02-19","84204"
"Lenart","Zine","1986-02-19","282152"
"Maquelin","Lucien","1986-02-19","29518"
"Maquelin","Brigham","1986-02-19","82291"
"Massonet","Moon","1986-02-19","91815"
"Melichar","Sumant","1986-02-19","405937"
"Milicia","Jianwen","1986-02-19","274761"
"Mitsuhashi","Yahiko","1986-02-19","252118"
"Morrin","Berna","1986-02-19","457810"
"Negoita","George","1986-02-19","411302"
"Panangaden","Serap","1986-02-19","76528"
"Papadias","LiMin","1986-02-19","231278"
"Papastamatiou","Lena","1986-02-19","229164"
"Peek","Kristen","1986-02-19","453071"
"Pehl","Ortrud","1986-02-19","411196"
"Perko","Dannz","1986-02-19","78742"
"Perz","Yannik","1986-02-19","95779"
"Picci","Kien","1986-02-19","427767"
"Poupard","Parto","1986-02-19","471056"
"Provine","Aimee","1986-02-19","280698"
"Puoti","Jagoda","1986-02-19","25370"
"Rathonyi","Ronnie","1986-02-19","33855"
"Rothenberg","Eckart","1986-02-19","93881"
"Ruemmler","Deniz","1986-02-19","407966"
"Salinas","Kristinn","1986-02-19","287437"
"Shumilov","Aamod","1986-02-19","484542"
"Simmen","Aleksander","1986-02-19","410307"
"Soicher","Boguslaw","1986-02-19","249604"
"Sommer","Freyja","1986-02-19","57217"
"Straney","Temple","1986-02-19","13363"
"Suppi","Vincent","1986-02-19","201928"
"Swan","Suvo","1986-02-19","232316"
"Varley","Przemyslawa","1986-02-19","411044"
"Vieri","Janche","1986-02-19","74270"
"Welham","Fusako","1986-02-19","283760"
"Welham","Zhigen","1986-02-19","457194"
"Wixon","Lijia","1986-02-19","102030"
"Yoshizawa","Qiwen","1986-02-19","56684"
"Zhiwei","Toshimitsu","1986-02-19","85853"
"Adachi","Kerhong","1986-02-20","221328"
"Aingworth","Erzsebet","1986-02-20","267330"
"Alblas","Houman","1986-02-20","422339"
"Aloisi","Hatsukazu","1986-02-20","65790"
"Alpin","Shahar","1986-02-20","407887"
"Ambroszkiewicz","Sadun","1986-02-20","410292"
"Angiulli","Uma","1986-02-20","453944"
"Angiulli","Arne","1986-02-20","432485"
"Anido","Mona","1986-02-20","280955"
"Asmuth","Eckart","1986-02-20","16599"
"Avouris","Chirstian","1986-02-20","98855"
"Baja","Rafael","1986-02-20","229128"
"Basart","Chuanyi","1986-02-20","223007"
"Bellone","Dulce","1986-02-20","408885"
"Benzmuller","Sham","1986-02-20","246717"
"Besselaar","Hirochika","1986-02-20","93156"
"Bierman","Dannz","1986-02-20","450426"
"Bottner","Mayuri","1986-02-20","424646"
"Boudaillier","Hauke","1986-02-20","297308"
"Boudaillier","Goetz","1986-02-20","219202"
"Brandsma","Yuchang","1986-02-20","455642"
"Brobst","Valery","1986-02-20","227801"
"Caine","Kersti","1986-02-20","463295"
"Camurati","Shao","1986-02-20","411032"
"Chenney","Denny","1986-02-20","496618"
"Chiola","Piyawadee","1986-02-20","62632"
"Codenie","Sandeepan","1986-02-20","38647"
"Collette","Luise","1986-02-20","269221"
"Conta","Vishwani","1986-02-20","476249"
"Crelier","Constantijn","1986-02-20","108179"
"Delgrange","Masaki","1986-02-20","475939"
"Denna","Roddy","1986-02-20","435065"
"Eastman","Mikhail","1986-02-20","470729"
"Eickenmeyer","Goo","1986-02-20","19279"
"Einsfeld","Shir","1986-02-20","234420"
"Eldridge","Youjian","1986-02-20","405290"
"Erez","Aiichiro","1986-02-20","446810"
"Fordan","Arlette","1986-02-20","99557"
"Fortenbacher","Manu","1986-02-20","32777"
"Frezza","Elvia","1986-02-20","19293"
"Furudate","Kazuhiko","1986-02-20","463506"
"Georg","Martina","1986-02-20","456508"
"Ghazalie","Mariangiola","1986-02-20","28269"
"Gomatam","Gina","1986-02-20","455502"
"Guenter","Amstein","1986-02-20","95037"
"Hainaut","Atreye","1986-02-20","214125"
"Haumacher","Arno","1986-02-20","80692"
"Haumacher","Shigehito","1986-02-20","71108"
"Hemaspaandra","Mikhail","1986-02-20","238940"
"Hofstetter","Jagoda","1986-02-20","453167"
"Itzigehl","Brigham","1986-02-20","66276"
"Kambil","Rutger","1986-02-20","221487"
"Katzenelson","Masako","1986-02-20","485384"
"Kolinko","Sajjad","1986-02-20","269423"
"Kossowski","Aksel","1986-02-20","11747"
"Krychniak","Gadiel","1986-02-20","61393"
"Kusalik","Masami","1986-02-20","233633"
"Leaver","Chinho","1986-02-20","54781"
"Litecky","Hiroyasu","1986-02-20","292598"
"Lowrie","Filipe","1986-02-20","46790"
"Lunt","Nahum","1986-02-20","104701"
"Makinen","Rosita","1986-02-20","53471"
"Mansanne","Reinhard","1986-02-20","261143"
"Menhardt","Xianlong","1986-02-20","268481"
"Meriste","Froduald","1986-02-20","97032"
"Mitsuhashi","KayLiang","1986-02-20","222099"
"Motley","Baziley","1986-02-20","221086"
"Muhlberg","Irena","1986-02-20","492206"
"Nishimukai","Uli","1986-02-20","254069"
"Olano","Val","1986-02-20","430931"
"Perly","Bowen","1986-02-20","489771"
"Peroz","Abdelwaheb","1986-02-20","242770"
"Pettit","Chuanyi","1986-02-20","491412"
"Plump","Masasuke","1986-02-20","243437"
"Potthoff","Bouchung","1986-02-20","251938"
"Puoti","Nahum","1986-02-20","440574"
"Rabehasaina","Vasiliy","1986-02-20","57337"
"Ramaiah","Ferdinand","1986-02-20","454149"
"Rosis","Henk","1986-02-20","245701"
"Sadowski","Florian","1986-02-20","29817"
"Samarati","Weicheng","1986-02-20","478430"
"Scharstein","Kwangyoen","1986-02-20","294514"
"Sidhu","Xiaoshan","1986-02-20","20710"
"Smeets","Vishwani","1986-02-20","67194"
"Soicher","Gennadi","1986-02-20","409955"
"Solovay","Renny","1986-02-20","87592"
"Srimani","Genki","1986-02-20","43518"
"Stille","Satoru","1986-02-20","23691"
"Suppi","Basim","1986-02-20","97123"
"Swan","Candida","1986-02-20","48220"
"Tasistro","Berhard","1986-02-20","17018"
"Terekhov","Florian","1986-02-20","407702"
"Tokunaga","Arra","1986-02-20","459804"
"Tokunaga","Pranas","1986-02-20","490657"
"Tyugu","Tianruo","1986-02-20","486572"
"Vidal","Moto","1986-02-20","240567"
"Weiland","Ute","1986-02-20","225242"
"Werthner","Christ","1986-02-20","23191"
"Willoner","Mitchel","1986-02-20","284554"
"Wolniewicz","Khoa","1986-02-20","465880"
"Wroclawski","Wayne","1986-02-20","75097"
"Akazan","Shawna","1986-02-21","21963"
"Alvarado","Mara","1986-02-21","54608"
